Taxon,Date,Season,Plot Type,Sample,Sample Type,Wet Mass,Avg. Soil moisture,Calc. dry mass,Avg. Temp,Count
Phthiraptora,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Mecoptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Dermaptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Zygentoma,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Embioptera,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Archaeognatha,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Protura,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Diplura,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,2
Entomobryomorpha,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,2
Poduromorpha,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Symphypleona,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Acari other,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,6
Oribatida,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,1
Araneae,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Opiliones,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Pseudoscorpiones,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Ixodida,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Ricinulei,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Schizomida,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Palpigradi,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Chilopoda,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Diplopoda,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Symphyla,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Tetramerocerata,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Isopoda,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Amphipoda,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Annelida,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Gastropoda,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Euonychophora,14.12.19,Wet,C,2S,Soil,341.3,51.26666667,408.3853333,25.83333333,0
Unknown,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Hymenoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Coleoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Hemiptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,1
Diptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,1
Blattodea,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Thysanoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Psocoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Lepidoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,1
Orthoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Trichoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Neuroptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Zoraptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Phthiraptora,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Mecoptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Dermaptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Zygentoma,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Embioptera,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Archaeognatha,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Protura,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Diplura,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Entomobryomorpha,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,2
Poduromorpha,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Symphypleona,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,1
Acari other,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,3
Oribatida,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,5
Araneae,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Opiliones,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Pseudoscorpiones,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Ixodida,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Ricinulei,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Schizomida,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Palpigradi,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Chilopoda,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Diplopoda,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Symphyla,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,1
Tetramerocerata,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Isopoda,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Amphipoda,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Annelida,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Gastropoda,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Euonychophora,14.12.19,Wet,W,3S,Soil,341.2,44.6,189.0248,30,0
Unknown,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Hymenoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,5
Coleoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Hemiptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Diptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,1
Blattodea,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Thysanoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Psocoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Lepidoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Orthoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Trichoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Neuroptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Zoraptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Phthiraptora,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Mecoptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Dermaptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Zygentoma,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Embioptera,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Archaeognatha,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Protura,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Diplura,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,1
Entomobryomorpha,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,2
Poduromorpha,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Symphypleona,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,1
Acari other,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,1
Oribatida,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Araneae,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Opiliones,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Pseudoscorpiones,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Ixodida,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Ricinulei,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Schizomida,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Palpigradi,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Chilopoda,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Diplopoda,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Symphyla,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Tetramerocerata,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,2
Isopoda,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Amphipoda,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Annelida,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Gastropoda,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Euonychophora,14.12.19,Wet,C,4S,Soil,389.2,50.8,191.4864,25.43333333,0
Unknown,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Hymenoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Coleoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Hemiptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,1
Diptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Blattodea,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Thysanoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Psocoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Lepidoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Orthoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Trichoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Neuroptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Zoraptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Phthiraptora,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Mecoptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Dermaptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Zygentoma,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Embioptera,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Archaeognatha,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Protura,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Diplura,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Entomobryomorpha,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Poduromorpha,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Symphypleona,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Acari other,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,3
Oribatida,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,2
Araneae,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Opiliones,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Pseudoscorpiones,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Ixodida,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Ricinulei,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Schizomida,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Palpigradi,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Chilopoda,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Diplopoda,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,1
Symphyla,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Tetramerocerata,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Isopoda,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,1
Amphipoda,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Annelida,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Gastropoda,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Euonychophora,14.12.19,Wet,W,5S,Soil,300.7,47.36666667,158.2684333,28.3,0
Unknown,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,1
Hymenoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,28
Coleoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,3
Hemiptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,3
Diptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,1
Blattodea,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Thysanoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Psocoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Lepidoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Orthoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Trichoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Neuroptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Zoraptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Phthiraptora,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Mecoptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Dermaptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Zygentoma,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Embioptera,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Archaeognatha,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Protura,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Diplura,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Entomobryomorpha,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,4
Poduromorpha,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Symphypleona,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,1
Acari other,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,7
Oribatida,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,35
Araneae,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Opiliones,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Pseudoscorpiones,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Ixodida,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Ricinulei,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Schizomida,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Palpigradi,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Chilopoda,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Diplopoda,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Symphyla,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Tetramerocerata,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,1
Isopoda,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Amphipoda,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Annelida,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,1
Gastropoda,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Euonychophora,14.12.19,Wet,C,6S,Soil,557.4,50.33333333,276.842,25.23333333,0
Unknown,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Hymenoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,1
Coleoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Hemiptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,1
Diptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Blattodea,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,2
Thysanoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Psocoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Lepidoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Orthoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Trichoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Neuroptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Zoraptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Phthiraptora,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Mecoptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Dermaptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Zygentoma,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Embioptera,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Archaeognatha,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Protura,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Diplura,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Entomobryomorpha,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,3
Poduromorpha,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,1
Symphypleona,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Acari other,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,2
Oribatida,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,4
Araneae,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Opiliones,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Pseudoscorpiones,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Ixodida,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Ricinulei,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Schizomida,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Palpigradi,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Chilopoda,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Diplopoda,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Symphyla,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Tetramerocerata,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,1
Isopoda,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Amphipoda,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Annelida,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,1
Gastropoda,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Euonychophora,14.12.19,Wet,W,7S,Soil,285.7,53.46666667,132.9457333,27.2,0
Unknown,14.12.19,Wet,C,8S,Soil,419.3,52.73333333,198.1891333,25.06666667,0
Hymenoptera,14.12.19,Wet,C,8S,Soil,419.3,52.73333333,198.1891333,25.06666667,4
